Census Tract,Rural~Urban,Access to Care,Employment Accessibility,Affordability,Air Quality,Population Churning,Education,Food Accessibility,Income Inequality,Job Participation,Population Density,Segregation,Material Deprivation,Walkability,Community Environment Profile,Consumer Opportunity Profile,Economic Opportunity Profile,Wellness Disparity Profile,Health Opportunity Index
51540000202,Urban,0.651508624026,0.042818874923,0.662662662663,0.635415488375,0.497455470738,0.697663196983,0.933302447075,0.170850202429,0.354,0.220017478538,0.813323104215,0.254134551248,0.330808124,0.60212211,0.715899044,0.1029876472,0.5051801734,0.1497028184
51121020100,Urban,0.420299351457,0.019117966544,0.564564564565,0.796264008798,0.234096692112,1,0.933302447075,0.452766531714,0.213,0.475390685294,0.802939389898,0.717797433551,0.040926666,0.5978160094,0.9022057866,0.1450216537,0.3465290147,0.1653617295
51121020201,Urban,0.371854023599,0.079464089611,0.192192192192,0.889297573916,0.432569974555,0.892323666185,0.996296523413,0.251282051282,0.555,0.107250928061,0.863052850658,0.284302278411,0.233944516,0.5410576616,0.6093575992,0.1771570594,0.2815385117,0.1673490699
51147930203,Rural,0.263992436242,0.000822706705,0.193193193193,0.966186512472,0.623409669211,0.691982622614,0.848973870754,0.646963562753,0.266,0.177598155759,0.895745575809,0.235096793825,0.291168361,0.4455110134,0.3775124607,0.2505687655,0.1883938282,0.1675035653
51630000301,Urban,0.241457235875,0.006778451659,0.572572572573,0.916761949327,0.5,0.768551609278,0.933302447075,0.277462887989,0.331,0.164161668701,0.793882626667,0.438812713113,0.160236301,0.4619925745,0.7166277875,0.1132887637,0.2243335215,0.1718429231
51690000300,Rural,0.219142602118,0.065166516652,0.271271271271,0.797940611178,0.736641221374,0.646981948455,0.848973870754,0.238731443995,0.474,0.020873193986,0.965347123318,0.279212851692,0.22665355,0.4286048116,0.4283113291,0.1792436438,0.1211167808,0.1720734456
51750010102,Urban,0.323680856882,0.045970252508,0.665665665666,0.892843589719,0.307888040712,0.755599381299,0.964858341199,0.155060728745,0.443,0.13128114128,0.756800141197,0.444119265448,0.087714347,0.4860664035,0.7449059694,0.1106829409,0.3015365076,0.1849804175
51770002500,Urban,0.445931513422,0.073749110742,0.159159159159,0.506497620604,0.72010178117,0.641884537463,0.898694006731,0.342914979757,0.52,0.039124607316,0.954487252573,0.178984430727,0.251115346,0.4955451161,0.3839508257,0.208146548,0.2874612789,0.1898230156
51013101802,Urban,0.434747109417,0.131421534131,0.708708708709,0.767906163105,0.65903307888,0.888723453242,0.933302447075,0.475708502024,0.894,0.740317123304,0.767170972494,0.302523355753,0.598746329,0.8377324979,0.8283889457,0.3614433655,0.3750043712,0.1916278102
51760040200,Urban,0.502986678293,0.084593661751,0.24024024024,0.450700120824,0.454198473282,0.696356157354,0.973651763011,0.382051282051,0.681,0.094950434909,0.992786152813,0.309318305535,0.298136933,0.5877340892,0.5050911583,0.240659168,0.3083967627,0.1925796512
51710004700,Urban,0.464126324045,0.019817677368,0.411411411411,0.747282664862,0.413486005089,0.685879310611,0.933302447075,0.406882591093,0.399,0.088447619354,0.970763402688,0.375164046796,0.145282356,0.470460901,0.5615699515,0.1787223615,0.2920668562,0.1932492577
51540000600,Urban,0.650127180514,0.100386979285,0.144144144144,0.644518171951,0.360050890585,0.815957526059,0.946258502202,0.169095816464,0.45,0.133535361836,0.576649139317,0.385170508246,0.269962955,0.5736980486,0.5509988201,0.1506860357,0.6248314755,0.1942975567
51121020400,Urban,0.420299351457,0.07332092224,0.63963963964,0.784539149783,0.40203562341,0.863229427985,0.933302447075,0.098650472335,0.542,0.127637743425,0.65758156079,0.302213201212,0.243748147,0.5611861002,0.7699588144,0.1173610709,0.4206167474,0.1946040329
51013103503,Urban,0,0.149283667622,0.670670670671,0.858030672394,0.525445292621,0.91016648337,0.933302447075,0.48987854251,0.865,0.588216089805,0.801645934666,0.418514887953,0.335404643,0.709233061,0.7713338643,0.3599143219,0.049166442,0.195706946
51520020200,Urban,0.293508376372,0.063933287005,0.344344344344,0.715390539635,0.732824427481,0.714117073547,0.90164753907,0.309176788124,0.473,0.034498458135,0.973063923613,0.306138863764,0.318986855,0.4679617653,0.5385565868,0.1857374422,0.1699141595,0.197802987
51760020400,Urban,0.502986678293,0.054666281422,0.038038038038,0.578498377462,0.69465648855,0.592634486983,0.999723337561,0.256680161943,0.308,0.17480314436,0.274103003612,0.110694074706,0.109680875,0.4623683208,0.341947992,0.1247112647,0.674703864,0.1981531813
